,Name,Online_order,Book_table,Rate,Dish_liked,Approx_cost(for two people)
15,Kirthi's Biryani,1,No,3.8 out of 5,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",700
16,T3H Cafe,0,No,3.9 out of 5,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300
17,The Vintage Cafe,1,No,3.0 out of 5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
18,Woodee Pizza,1,No,3.7 out of 5,"Pizza, Garlic Bread",500
19,My Tea House,1,No,3.6 out of 5,"Pasta, Iced Tea",600
20,Srinathji's Cafe,0,No,3.8 out of 5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
21,Redberrys,1,No,4.0 out of 5,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600
22,Foodiction,1,No,2.8 out of 5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
23,Ovenstory Pizza,1,No,3.9 out of 5,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750
24,Faasos,1,No,4.2 out of 5,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500
25,Behrouz Biryani,1,No,3.9 out of 5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650
26,Szechuan Dragon,1,No,4.2 out of 5,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600
27,Empire Restaurant,1,No,4.4 out of 5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
28,Chaatimes,1,No,3.8 out of 5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200
29,McDonald's,1,No,3.9 out of 5,"Burgers, Fries, Hot Chocolate",500
30,Domino's Pizza,1,No,3.9 out of 5,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800
31,Hotboxit,0,No,3.8 out of 5,Prompt Service,400
32,Kitchen Garden,1,No,3.6 out of 5,Biryani,300
33,Recipe,1,No,4.0 out of 5,"Butter Chicken, Noodles, Thali, Biryani",450
34,Beijing Bites,1,No,3.7 out of 5,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850
35,Tasty Bytes,1,No,3.1 out of 5,"Paratha, Pasta",300
36,Corner House Ice Cream,0,No,4.3 out of 5,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400
37,Biryanis And More,1,No,4.0 out of 5,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750
38,Roving Feast,0,No,4.0 out of 5,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450
39,FreshMenu,1,No,3.9 out of 5,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450
40,Wamama,1,Yes,4.2 out of 5,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",800
41,Peppy Peppers,0,No,4.2 out of 5,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800
42,Goa 0 Km,1,Yes,3.6 out of 5,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",800
43,1947,0,Yes,4.0 out of 5,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",850
44,Kabab Magic,1,No,4.1 out of 5,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",400
45,Gustoes Beer House,0,No,4.1 out of 5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","1,200"
46,The Biryani Cafe,0,No,4.1 out of 5,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",300
47,Rolls On Wheels,0,No,3.6 out of 5,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300
48,Sri Guru Kottureshwara Davangere Benne Dosa,1,No,4.1 out of 5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150
49,Upahar Sagar,0,No,3.8 out of 5,Masala Dosa,350
50,Frozen Bottle,1,No,4.2 out of 5,"Berryblast, Waffles, Cheesecake, Salted Caramel",400
51,Meghana Foods,1,No,4.4 out of 5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600
52,Nandhini Deluxe,0,No,2.6 out of 5,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600
53,Vi Ra's Bar and Restaurant,0,No,3.3 out of 5,Chilli Chicken,800
54,Chatar Patar,0,No,3.7 out of 5,"Panipuri, Chaat, Noodles, Dahi Bhalle",300
55,Polar Bear,1,No,3.8 out of 5,Hot Chocolate Fudge,400
56,Kidambi's Kitchen,0,No,3.5 out of 5,Rooftop Ambience,300
57,Mane Thindi,0,No,3.7 out of 5,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200
58,Floured-Baked With Love,0,No,3.8 out of 5,"Cup Cake, Chocolate Cake",400
59,Bengaluru Coffee House,1,No,4.1 out of 5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300
60,Anna Kuteera,1,No,4.0 out of 5,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450
61,Darbar,0,No,3.0 out of 5,"Paneer Tikka, Dal Kichadi, French Fries",800
62,Sri Udupi Food Hub,1,Yes,4.1 out of 5,"Filter Coffee, Masala Dosa, Idli, Vada",500
63,House Of Kebabs,1,No,3.8 out of 5,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650
64,Roll N Rock,1,No,3.8 out of 5,"Rolls, Paratha, Chicken Biryani",400
65,BOX8- Desi Meals,1,No,4.1 out of 5,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500
66,KFC,1,No,3.8 out of 5,"Burgers, French Fries",450
67,Roll Over,1,No,4.1 out of 5,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500
68,Imperial Restaurant,1,No,3.7 out of 5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750
69,Wahab,1,No,3.7 out of 5,"Chicken Biryani, Rolls",350
70,Canton,1,No,3.6 out of 5,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800
71,The Blue Wagon - Kitchen,1,No,4.6 out of 5,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400
72,Patio 805,1,Yes,4.1 out of 5,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","1,200"
73,Lassi Corner,1,No,3.7 out of 5,Lassi,150
74,Sagar Deluxe,1,No,3.2 out of 5,"Coffee, Chaat",300
75,Energy Addaa,1,No,4.2 out of 5,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
76,Tandoori Knight,1,No,3.0 out of 5,"Chicken Grill, Biryani, Roti, Chicken Masala",450
77,Dev Sagar - Food Street,1,No,4.1 out of 5,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
78,Mitraa Da Pizza,1,No,3.8 out of 5,"Pizza, Burgers",250
79,Grazers,1,Yes,3.9 out of 5,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650
80,Shakes Theory,1,No,4.5 out of 5,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300
81,@Italy,1,No,4.1 out of 5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700
82,Old Mumbai Ice Cream,1,No,3.9 out of 5,Friendly Staff,150
83,Donne Biriyani House,1,No,3.9 out of 5,Biryani,400
84,Kedia's Fun Food,1,No,4.3 out of 5,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
85,Just Shawarma,1,No,3.9 out of 5,"Whole Meat Shawarma, Fries",300
86,Mini Punjabi Dhaba,1,No,4.2 out of 5,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350
87,Gokul Veg,1,No,3.8 out of 5,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750
88,Olive - Era,1,No,3.3 out of 5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550
89,Gama Gama,1,No,3.9 out of 5,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200
90,Pizza Hut,1,No,3.8 out of 5,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750
91,Mangalore Pearl,1,No,3.8 out of 5,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650
92,Twiststick House,1,No,4.1 out of 5,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500
93,Cool Corner,1,No,4.2 out of 5,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250
94,Pizza Mane,1,No,3.5 out of 5,"French Fries, Burgers",150
95,Dal Tadkaa,1,No,2.5 out of 5,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500
96,Chutney Chang,1,Yes,4.1 out of 5,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","1,500"
97,Mystique Palate,1,No,4.1 out of 5,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300
98,Thamboola,1,No,3.9 out of 5,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800
99,Castle Rock,1,No,3.6 out of 5,Biryani,700
100,Vietnamese Kitchen,1,No,3.6 out of 5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700
101,Toscano,1,Yes,4.3 out of 5,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","1,300"
102,Stoned Monkey,1,No,4.3 out of 5,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500
103,Central Jail Restaurant,1,No,3.8 out of 5,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700
104,Bella,1,Yes,3.9 out of 5,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","1,000"
105,New Prashanth Hotel,1,No,3.6 out of 5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750
106,Karma Kaapi,1,No,4.4 out of 5,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250
107,Tiwari's,1,No,3.8 out of 5,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200
108,Pizza Stop,1,No,3.8 out of 5,"Pizza, White Sauce Pasta, Masala Garlic Bread",600
109,Biggies Burger 'n' More,1,No,3.6 out of 5,"Burgers, Fries, Mojito, Chicken Burger",650
110,Kollapuri's,0,No,3.9 out of 5,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450
111,RS Shiv Sagar,0,No,3.7 out of 5,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
112,Harshi Super Sandwich,0,No,3.8 out of 5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150
113,Ugadi,1,No,2.9 out of 5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700
114,Subway,1,No,3.7 out of 5,"Veggie Delight, Paneer Tikka, Salad",600
115,The Lassi Park,1,No,4.1 out of 5,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200
116,A2B - Adyar Ananda Bhavan,1,No,3.8 out of 5,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",400
117,Srikrishna Bhavan,1,No,3.8 out of 5,"Roti, Masala Dosa",300
118,Green Gardenia,1,No,3.8 out of 5,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",700
119,J Spice,1,No,3.8 out of 5,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",750
120,Hatti Kaapi,1,No,4.0 out of 5,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa",200
121,Upahara Darshini,1,No,3.9 out of 5,Masala Dosa,600
122,The Chaat Shop,1,No,2.5 out of 5,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",200
123,Samskruti - Sanman Gardenia,1,No,4.1 out of 5,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",550
124,Chumma Delicious,1,No,3.7 out of 5,Chicken Biryani,200
125,New Prashanth Hotel,1,No,3.9 out of 5,"Chicken Biryani, Ragi Mudde, Mutton Chops",650
126,Dwaraka Grand,1,No,3.9 out of 5,"Masala Dosa, Coffee",500
127,Gufha - The President Hotel,1,Yes,4.1 out of 5,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","1,200"
128,Mojo Pizza - 2X Toppings,1,No,4.2 out of 5,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",600
129,South Kitchen,1,No,4.3 out of 5,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",100
130,Chung Wah,1,No,3.7 out of 5,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings",850
131,Prems Graama Bhojanam,1,No,4.3 out of 5,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",400
132,Java City,1,No,2.6 out of 5,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",450
133,Kamat Bugle Rock,1,No,3.9 out of 5,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",300
134,Puliyogare Point,1,No,4.2 out of 5,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100
135,Bangalore Agarwal Bhavan,1,No,3.9 out of 5,"Paratha, Coffee, Halwa, Lassi",400
136,Rustic Stove,1,No,3.8 out of 5,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",900
137,De Thaali,1,No,3.9 out of 5,"Malai Kofta, Sandwich, Naan",550
138,Matru Sagar,1,No,3.6 out of 5,"Coffee, Masala Dosa",250
139,Sea Spice by 7 Star,1,Yes,4.0 out of 5,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","1,200"
140,Desi Dawat,1,No,3.7 out of 5,"Tandoori Chicken, Rolls",400
141,Cafe Aira,1,No,4.1 out of 5,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles",500
142,Mast Punjabi,1,No,2.6 out of 5,Aloo Paratha,400
143,South Grand,1,No,3.4 out of 5,Rava Dosa,400
144,The Pizzeria,1,No,2.8 out of 5,Pesto Pizza,800
145,Ruchis Point,1,No,3.8 out of 5,"Sandwiches, Noodles, Sandwich",200
146,Firangi Bake,1,No,4.0 out of 5,"Lasagne, Steak, Masala Quesadilla, Garlic Bread",600
147,The Royal Corner - Pai Viceroy,1,Yes,4.2 out of 5,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian",900
148,Hara Fine Dine,1,Yes,4.0 out of 5,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan",800
149,Chocoberry,1,No,3.5 out of 5,"Waffles, Cup Cake, Chocolate Cake",400
150,Waffle-A-Go Go,1,No,3.9 out of 5,Waffles,400
151,Cross Road Cafe,1,No,3.9 out of 5,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali",300
152,Bakers Town,1,No,3.8 out of 5,"Freak Shake, Fries, Pasta Alfredo",650
153,Ivy,1,No,3.8 out of 5,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken",600
154,The Airos,1,No,4.1 out of 5,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls",650
155,Chai Kraft,1,No,4.1 out of 5,"Masala Chai, Coffee, Masala Tea, Maggi",100
156,The Trundle,1,No,3.7 out of 5,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup",700
157,The Krishna Grand Xpress,1,No,4.0 out of 5,"Vada, Masala Dosa, Idli",350
158,Udupi Grand,1,No,3.8 out of 5,"Coffee, Masala Dosa, Vegetable Biryani",300
159,Little Cafe,1,No,3.7 out of 5,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread",600
160,1980s Games Cafe,1,No,3.4 out of 5,"Maggi, Pasta, Burgers, Sandwiches, Fries",400
161,Kadala Tarangaa,1,No,3.6 out of 5,"Sea Food, Neer Dosa",600
162,As On Fire,1,No,3.5 out of 5,Pizza,400
163,Curry Leaves,1,No,4.1 out of 5,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani",800
164,Magic Meals,1,No,3.7 out of 5,"Biryani, Thick Shakes, Fries",400
165,Desi Cream Junction,1,Yes,3.7 out of 5,Vegetarian,650
166,Eat Repeat,1,No,3.9 out of 5,"Sweet Pongal, Curd Rice",150
167,Salut,1,Yes,4.1 out of 5,"Pesto Pizza, Buffalo Wings, Cocktails, Beer, Egg Ghee Roast, Brownie, Pepper Chicken","1,200"
168,Sandwich Mama's And Frozen Monster,1,No,3.8 out of 5,"Waffles, Sandwiches, Maggi, Thick Shakes, Chocolate Sandwich",250
169,Food Springs,1,No,4.0 out of 5,"Honey Chilli Potatoes, Nachos, Lemonade, Hakka Noodles, Babycorn Manchurian, Mushroom Manchurian, Spring Roll",400
170,Chung's Chinese Corner,1,No,3.9 out of 5,"Manchow Soup, Momos, Wonton Soup, Chowmein, American Chopsuey, Chop Suey, Manchurian",700
171,Eurasia Pasta and Barbeque by Little Italy,1,Yes,4.1 out of 5,"Pasta, Pizza, Nachos, Gelato, Ravioli, Jalapeno Poppers, Cocktails","1,200"
172,Goli Vada Pav No. 1,1,No,3.7 out of 5,"Masala Vada Pav, Cheese Vada Pav, Fries",200
173,Ragoo's,1,No,3.9 out of 5,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli",800
174,Pure & Natural,1,No,3.9 out of 5,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad",500
175,Maiyas,1,No,4.0 out of 5,"Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath",200
176,Sip n Dine,1,No,3.6 out of 5,"Veg Jaipuri, Neer Dosa, Kulcha, Pepper Chicken, Chilli Mushroom, Murgh Platter, Paneer Tikka",800
177,Cafe Mondo,1,No,3.7 out of 5,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge",600
178,Jalpaan,1,Yes,4.0 out of 5,"Mocktails, Tomato Soup, Pasta, Nachos, Chaat, Potli Biryani, Lassi",900
179,Kataria's Pakwan,1,No,3.2 out of 5,"Paratha, Lassi, Manchurian, Thali",400
180,Juicy Momos,1,No,3.5 out of 5,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos",250
181,Amande Patisserie,1,No,4.0 out of 5,"Macaroon, Mousse, Caramel Eclair",300
182,Anand Sweets and Savouries,1,No,3.9 out of 5,"Dahi Papadi Chaat, Papdi Chaat, Bhel Puri, Paratha, Kachori, Thali, Masala Poori",400
183,Chicken Hunt,1,No,3.5 out of 5,Chicken Grill,350
184,Swadesh Tadka,1,No,3.5 out of 5,"Gulab Jamun, Roti, Masala Papad, Babycorn Manchurian, Paratha, Clear Soup, Biryani",600
185,Cane-O-La,1,No,3.8 out of 5,"Sugarcane Juice, Popcorn",100
186,New Biryani Mane,1,No,3.7 out of 5,"Egg Biryani, Tandoori Chicken, Fish, Rumali Roti",450
187,Upahara Darshini,1,No,3.8 out of 5,"Rava Dosa, Roti, Masala Dosa, Kulcha, Sandwiches, Vada Pav, Idli",400
188,Karnataka Bhel House,1,No,4.1 out of 5,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",100
189,Sreeraj Lassi Bar,1,No,4.1 out of 5,"Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi",150
190,Bunt's Biriyani Palace,1,No,3.0 out of 5,"Neer Dosa, Sea Food, Pepper Chicken",400
191,Chai Point,1,No,3.2 out of 5,"Ginger Chai, Ginger Tea, Banana Cake, Samosa, Masala Chai, Banana Walnut",250
192,Janahaar,1,No,3.8 out of 5,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",100
193,Utsav,1,No,3.7 out of 5,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav",200
194,The Spice Saga,1,No,3.7 out of 5,"Biryani, Chicken Grill, Butter Chicken",750
195,Subz,1,Yes,4.2 out of 5,"Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries","1,000"
196,Mint and Mustard,1,No,4.0 out of 5,"Paneer Tikka, Masala Papad, Garlic Naan",750
197,Punjabi Raswada,1,Yes,3.5 out of 5,"Gajar Ka Halwa, Lassi, Jeera Rice, Shahi Paneer, Shikanji, Makke Ki Roti, Kofta Curry",800
198,Vinny's,1,Yes,4.2 out of 5,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",800
199,Kapoor's Cafe,1,No,4.2 out of 5,"Lassi, French Fries, Cheese Balls, Paneer Pakora, Dal Makhani, Buttermilk, Cheese Paratha",800
200,Sukh Sagar,1,No,3.8 out of 5,"Pav Bhaji, Chaat, Sandwiches, Coffee, Noodles, Masala Dosa, Roti",450
201,Andhra Ruchulu,1,Yes,4.1 out of 5,"Andhra Meal, Mutton Biryani, Chicken Sholay, Chicken Biryani, Chicken Guntur, Andhra Thali, Guava Ice Cream","1,000"
202,Steaming Mugs,1,No,3.9 out of 5,"Fries, Oreo Shake, Pasta Arrabiata",700
203,Rajathadri Food Fort,1,No,4.0 out of 5,"Butter Naan, Filter Coffee, Pav Bhaji, Vada, Babycorn Manchurian, Tea, Paneer Tikka Masala",600
204,Brew Meister,1,Yes,4.1 out of 5,"Cocktails, Pasta, Paneer Tikka, Mocktails, Wheat Beer, Corn Paratha, Misal Pav","1,500"
205,Rasoi,1,No,3.3 out of 5,"Lassi, Panneer Butter Masala, Paratha, Thali",300
206,Mr. Singh Da Dhaba,1,No,3.6 out of 5,"Mughlai Paratha, Laccha Paratha, Rolls",300
207,Ayodhya Upachar,1,No,4.3 out of 5,"Panneer Butter Masala, Vada, Curd Rice, Idli, Jeera Rice, Naan, Kulcha",200
208,Biriyani Mane,1,No,3.8 out of 5,"Biryani, Chilli Chicken, Neer Dosa",400
209,Cafe Ajfan,1,No,4.2 out of 5,"Sandwiches, Pasta, Cobb Salad, Pizza, Burgers, Calzone, Fries",700
210,Brundhavana Food Point,1,No,4.0 out of 5,Biryani,300
211,SLV Corner Restaurant,1,No,4.1 out of 5,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast",550
212,The Krishna Grand,1,No,3.9 out of 5,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat",750
